country,score,gdp,life_exp,freedom,gov_corr,generosity,year
Azerbaijan,5.212,1.02389,0.64045,0.3703,0.16065,0.07799,2015
Pakistan,5.194,0.59543,0.51466,0.12102,0.10464,0.33671,2015
Jordan,5.192,0.90198,0.69639,0.40661,0.14293,0.11053,2015
Montenegro,5.192,0.97438,0.72521,0.1826,0.14296,0.1614,2015
China,5.14,0.89012,0.81658,0.51697,0.02781,0.08185,2015
Zambia,5.129,0.47038,0.29924,0.48827,0.12468,0.19591,2015
Romania,5.124,1.04345,0.7689,0.35068,0.00649,0.13748,2015
Serbia,5.123,0.92053,0.74836,0.20107,0.02617,0.19231,2015
Portugal,5.102,1.15991,0.87519,0.51469,0.01078,0.13719,2015
Latvia,5.098,1.11312,0.72437,0.29671,0.06332,0.18226,2015
Philippines,5.073,0.70532,0.58114,0.62545,0.12279,0.24991,2015
Somaliland region,5.057,0.18847,0.43873,0.46582,0.39928,0.50318,2015
Morocco,5.013,0.73479,0.60954,0.41691,0.08546,0.07172,2015
Macedonia,5.007,0.91851,0.73545,0.33457,0.05327,0.22359,2015
Mozambique,4.971,0.08308,0.09131,0.34037,0.15603,0.22269,2015
Albania,4.959,0.87867,0.81325,0.35733,0.06413,0.14272,2015
Bosnia and Herzegovina,4.949,0.83223,0.79081,0.09245,0.00227,0.24808,2015
Lesotho,4.898,0.37545,0.07612,0.31767,0.12504,0.16388,2015
Dominican Republic,4.885,0.89537,0.66825,0.57672,0.14234,0.21684,2015
Laos,4.876,0.59066,0.54909,0.59591,0.24249,0.42192,2015
Mongolia,4.874,0.82819,0.60268,0.43626,0.02666,0.3323,2015
Swaziland,4.867,0.71206,0.07566,0.30658,0.0306,0.18259,2015
Greece,4.857,1.15406,0.88213,0.07699,0.01397,0,2015
Lebanon,4.839,1.02564,0.83947,0.33916,0.04582,0.21854,2015
Hungary,4.8,1.12094,0.75905,0.32112,0.02758,0.128,2015
Honduras,4.788,0.59532,0.6951,0.40148,0.06825,0.23027,2015
Tajikistan,4.786,0.39047,0.57379,0.47216,0.15072,0.22974,2015
Tunisia,4.739,0.88113,0.73793,0.26268,0.06358,0.06431,2015
Palestinian Territories,4.715,0.59867,0.66015,0.24499,0.12905,0.11251,2015
Bangladesh,4.694,0.39753,0.60164,0.4082,0.12569,0.21222,2015
Iran,4.686,1.0088,0.69805,0.30033,0.05863,0.38086,2015
Ukraine,4.681,0.79907,0.6739,0.25123,0.02961,0.15275,2015
Iraq,4.677,0.98549,0.60237,0,0.13788,0.17922,2015
South Africa,4.642,0.92049,0.27688,0.33207,0.08884,0.11973,2015
Ghana,4.633,0.54558,0.40132,0.42342,0.04355,0.23087,2015
Zimbabwe,4.61,0.271,0.33475,0.25861,0.08079,0.18987,2015
Liberia,4.571,0.0712,0.34201,0.28531,0.06232,0.24362,2015
India,4.565,0.64499,0.51529,0.39786,0.08492,0.26475,2015
Sudan,4.55,0.52107,0.36878,0.10081,0.1466,0.19062,2015
Haiti,4.518,0.26673,0.38847,0.24425,0.17175,0.46187,2015
Congo (Kinshasa),4.517,0,0.09806,0.22605,0.07625,0.24834,2015
Nepal,4.514,0.35997,0.56874,0.38282,0.05907,0.32296,2015
Ethiopia,4.512,0.19073,0.44055,0.4345,0.15048,0.24325,2015
Sierra Leone,4.507,0.33024,0,0.4084,0.08786,0.21488,2015
Mauritania,4.436,0.45407,0.35874,0.24232,0.17461,0.219,2015
Kenya,4.419,0.36471,0.41435,0.42215,0.05839,0.37542,2015
Djibouti,4.369,0.44025,0.36291,0.46074,0.28105,0.18093,2015
Armenia,4.35,0.76821,0.7299,0.19847,0.039,0.07855,2015
Botswana,4.332,0.99355,0.04776,0.49495,0.12474,0.10461,2015
Myanmar,4.307,0.27108,0.48246,0.44017,0.19034,0.79588,2015
Georgia,4.297,0.7419,0.72926,0.40577,0.38331,0.05547,2015
Malawi,4.292,0.01604,0.22562,0.43054,0.06977,0.33128,2015
Sri Lanka,4.271,0.83524,0.70806,0.53726,0.09179,0.40828,2015
Cameroon,4.252,0.4225,0.23402,0.49309,0.05786,0.20618,2015
Bulgaria,4.218,1.01216,0.76649,0.30587,0.00872,0.11921,2015
Egypt,4.194,0.8818,0.61712,0.17288,0.06324,0.11291,2015
Yemen,4.077,0.54649,0.40064,0.35571,0.07854,0.09131,2015
Angola,4.033,0.75778,0.16683,0.10384,0.07122,0.12344,2015
Mali,3.995,0.26074,0.20583,0.38857,0.12352,0.18798,2015
Congo (Brazzaville),3.989,0.67866,0.31051,0.41466,0.11686,0.12388,2015
Comoros,3.956,0.23906,0.36315,0.22917,0.199,0.17441,2015
Uganda,3.931,0.21102,0.33861,0.45727,0.07267,0.29066,2015
Senegal,3.904,0.36498,0.4354,0.36772,0.10713,0.20843,2015
Gabon,3.896,1.06024,0.43372,0.31914,0.11091,0.06822,2015
Niger,3.845,0.0694,0.29707,0.47692,0.15639,0.19387,2015
Cambodia,3.819,0.46038,0.61114,0.66246,0.07247,0.40359,2015
Tanzania,3.781,0.2852,0.38215,0.32878,0.05747,0.34377,2015
Madagascar,3.681,0.20824,0.46721,0.19184,0.08124,0.21333,2015
Central African Republic,3.678,0.0785,0.06699,0.48879,0.08289,0.23835,2015
Chad,3.667,0.34193,0.1501,0.23501,0.05269,0.18386,2015
Guinea,3.656,0.17417,0.24009,0.37725,0.12139,0.28657,2015
Ivory Coast,3.655,0.46534,0.15185,0.46866,0.17922,0.20165,2015
Burkina Faso,3.587,0.25812,0.27125,0.39493,0.12832,0.21747,2015
Afghanistan,3.575,0.31982,0.30335,0.23414,0.09719,0.3651,2015
Rwanda,3.465,0.22208,0.42864,0.59201,0.55191,0.22628,2015
Benin,3.34,0.28665,0.3191,0.4845,0.0801,0.1826,2015
Syria,3.006,0.6632,0.72193,0.15684,0.18906,0.47179,2015
Burundi,2.905,0.0153,0.22396,0.1185,0.10062,0.19727,2015
Togo,2.839,0.20868,0.28443,0.36453,0.10731,0.16681,2015
