country,score,gdp,life_exp,freedom,gov_corr,generosity,year
El Salvador,6.167,0.806,0.639,0.461,0.082,0.065,2018
Nicaragua,6.141,0.668,0.7,0.527,0.128,0.208,2018
Poland,6.123,1.176,0.781,0.546,0.064,0.108,2018
Bahrain,6.105,1.338,0.698,0.594,0.123,0.243,2018
Uzbekistan,6.096,0.719,0.605,0.724,0.259,0.328,2018
Kuwait,6.083,1.474,0.675,0.554,0.106,0.167,2018
Thailand,6.072,1.016,0.707,0.637,0.029,0.364,2018
Italy,6,1.264,0.946,0.281,0.028,0.137,2018
Ecuador,5.973,0.889,0.736,0.556,0.12,0.114,2018
Belize,5.956,0.807,0.474,0.593,0.089,0.183,2018
Lithuania,5.952,1.197,0.716,0.35,0.006,0.026,2018
Slovenia,5.948,1.219,0.856,0.633,0.051,0.16,2018
Romania,5.945,1.116,0.726,0.528,0.001,0.088,2018
Latvia,5.933,1.148,0.671,0.363,0.066,0.092,2018
Japan,5.915,1.294,0.988,0.553,0.15,0.079,2018
Mauritius,5.891,1.09,0.684,0.584,0.05,0.245,2018
Jamaica,5.89,0.819,0.693,0.575,0.031,0.096,2018
South Korea,5.875,1.266,0.955,0.244,0.051,0.175,2018
Northern Cyprus,5.835,1.229,0.909,0.495,0.154,0.179,2018
Russia,5.81,1.151,0.599,0.399,0.025,0.065,2018
Kazakhstan,5.79,1.143,0.631,0.454,0.121,0.148,2018
Cyprus,5.762,1.229,0.909,0.423,0.035,0.202,2018
Bolivia,5.752,0.751,0.508,0.606,0.054,0.141,2018
Estonia,5.739,1.2,0.737,0.553,0.174,0.086,2018
Paraguay,5.681,0.835,0.615,0.541,0.074,0.162,2018
Peru,5.663,0.934,0.674,0.53,0.034,0.092,2018
Kosovo,5.662,0.855,0.578,0.448,0.023,0.274,2018
Moldova,5.64,0.657,0.62,0.232,0,0.171,2018
Turkmenistan,5.636,1.016,0.517,0.417,0.037,0.199,2018
Hungary,5.62,1.171,0.732,0.259,0.022,0.061,2018
Libya,5.566,0.985,0.553,0.496,0.148,0.116,2018
Philippines,5.524,0.775,0.513,0.643,0.105,0.12,2018
Honduras,5.504,0.62,0.622,0.459,0.074,0.197,2018
Belarus,5.483,1.039,0.7,0.307,0.154,0.101,2018
Turkey,5.483,1.148,0.686,0.324,0.109,0.106,2018
Pakistan,5.472,0.652,0.424,0.334,0.113,0.216,2018
Hong Kong,5.43,1.405,1.03,0.524,0.291,0.246,2018
Portugal,5.41,1.188,0.884,0.562,0.017,0.055,2018
Serbia,5.398,0.975,0.685,0.288,0.043,0.134,2018
Greece,5.358,1.154,0.879,0.131,0.044,0,2018
Lebanon,5.358,0.965,0.785,0.503,0.136,0.214,2018
Montenegro,5.347,1.017,0.729,0.259,0.081,0.111,2018
Croatia,5.321,1.115,0.737,0.38,0.039,0.12,2018
Dominican Republic,5.302,0.982,0.614,0.578,0.106,0.12,2018
Algeria,5.295,0.979,0.687,0.077,0.135,0.055,2018
Morocco,5.254,0.779,0.669,0.46,0.074,0.026,2018
China,5.246,0.989,0.799,0.597,0.103,0.029,2018
Azerbaijan,5.201,1.024,0.603,0.43,0.176,0.031,2018
Tajikistan,5.199,0.474,0.598,0.292,0.034,0.187,2018
Macedonia,5.185,0.959,0.691,0.394,0.052,0.173,2018
Jordan,5.161,0.822,0.645,0.468,0.134,0.13,2018
Nigeria,5.155,0.689,0.048,0.462,0.032,0.201,2018
Kyrgyzstan,5.131,0.53,0.594,0.54,0.035,0.281,2018
Bosnia and Herzegovina,5.129,0.915,0.758,0.28,0,0.216,2018
Mongolia,5.125,0.914,0.575,0.395,0.032,0.253,2018
Vietnam,5.103,0.715,0.702,0.618,0.079,0.177,2018
Indonesia,5.093,0.899,0.522,0.538,0.018,0.484,2018
Bhutan,5.082,0.796,0.527,0.541,0.171,0.364,2018
Somalia,4.982,0,0.115,0.674,0.282,0.238,2018
Cameroon,4.975,0.535,0.182,0.454,0.043,0.183,2018
Bulgaria,4.933,1.054,0.712,0.359,0.009,0.064,2018
Nepal,4.88,0.425,0.539,0.526,0.078,0.302,2018
Venezuela,4.806,0.996,0.657,0.133,0.052,0.056,2018
Gabon,4.758,1.036,0.404,0.356,0.052,0.032,2018
Palestinian Territories,4.743,0.642,0.602,0.266,0.076,0.086,2018
South Africa,4.724,0.94,0.33,0.516,0.056,0.103,2018
Iran,4.707,1.059,0.691,0.459,0.129,0.282,2018
Ivory Coast,4.671,0.541,0.08,0.467,0.103,0.146,2018
Ghana,4.657,0.592,0.337,0.499,0.029,0.212,2018
Senegal,4.631,0.429,0.433,0.406,0.082,0.138,2018
Laos,4.623,0.72,0.441,0.626,0.174,0.23,2018
Tunisia,4.592,0.9,0.69,0.271,0.063,0.04,2018
Albania,4.586,0.916,0.79,0.419,0.032,0.149,2018
Sierra Leone,4.571,0.256,0,0.355,0.053,0.238,2018
Congo (Brazzaville),4.559,0.682,0.343,0.514,0.077,0.091,2018
Bangladesh,4.5,0.532,0.579,0.58,0.144,0.153,2018
Sri Lanka,4.471,0.918,0.672,0.585,0.05,0.307,2018
Iraq,4.456,1.01,0.536,0.304,0.095,0.148,2018
Mali,4.447,0.37,0.152,0.367,0.056,0.139,2018
Namibia,4.441,0.874,0.365,0.519,0.064,0.051,2018
Cambodia,4.433,0.549,0.457,0.696,0.065,0.256,2018
Burkina Faso,4.424,0.314,0.254,0.312,0.128,0.175,2018
Egypt,4.419,0.885,0.553,0.312,0.107,0.092,2018
Mozambique,4.417,0.198,0.173,0.531,0.158,0.206,2018
Kenya,4.41,0.493,0.454,0.504,0.055,0.352,2018
Zambia,4.377,0.562,0.295,0.503,0.082,0.221,2018
Mauritania,4.356,0.557,0.292,0.129,0.093,0.134,2018
Ethiopia,4.35,0.308,0.391,0.452,0.146,0.22,2018
Georgia,4.34,0.853,0.643,0.375,0.215,0.038,2018
Armenia,4.321,0.816,0.666,0.26,0.028,0.077,2018
Myanmar,4.308,0.682,0.429,0.58,0.178,0.598,2018
Chad,4.301,0.358,0.053,0.189,0.06,0.181,2018
Congo (Kinshasa),4.245,0.069,0.204,0.312,0.052,0.197,2018
India,4.19,0.721,0.485,0.539,0.093,0.172,2018
Niger,4.166,0.131,0.221,0.39,0.099,0.175,2018
Uganda,4.161,0.322,0.237,0.45,0.061,0.259,2018
Benin,4.141,0.378,0.24,0.44,0.067,0.163,2018
Sudan,4.139,0.605,0.312,0.016,0.082,0.134,2018
Ukraine,4.103,0.793,0.609,0.163,0.011,0.187,2018
Togo,3.999,0.259,0.253,0.434,0.101,0.158,2018
Guinea,3.964,0.344,0.211,0.394,0.094,0.185,2018
Lesotho,3.808,0.472,0.079,0.423,0.112,0.116,2018
Angola,3.795,0.73,0.269,0,0.061,0.079,2018
Madagascar,3.774,0.262,0.402,0.221,0.049,0.155,2018
Zimbabwe,3.692,0.357,0.248,0.406,0.099,0.132,2018
Afghanistan,3.632,0.332,0.255,0.085,0.036,0.191,2018
Botswana,3.59,1.017,0.417,0.557,0.092,0.042,2018
Malawi,3.587,0.186,0.306,0.531,0.08,0.21,2018
Haiti,3.582,0.315,0.289,0.025,0.104,0.392,2018
Liberia,3.495,0.076,0.267,0.419,0.03,0.206,2018
Syria,3.462,0.689,0.539,0.088,0.144,0.376,2018
Rwanda,3.408,0.332,0.4,0.636,0.444,0.2,2018
Yemen,3.355,0.442,0.343,0.244,0.064,0.083,2018
Tanzania,3.303,0.455,0.381,0.481,0.097,0.27,2018
South Sudan,3.254,0.337,0.177,0.112,0.106,0.224,2018
Central African Republic,3.083,0.024,0.01,0.305,0.038,0.218,2018
Burundi,2.905,0.091,0.145,0.065,0.076,0.149,2018
