country,score,gdp,life_exp,freedom,gov_corr,generosity,year
Peru,5.743,0.99602,0.62994,0.37502,0.05292,0.14527,2016
Turkmenistan,5.658,1.08017,0.44006,0.37408,0.28467,0.22567,2016
Mauritius,5.648,1.14372,0.66189,0.46145,0.05203,0.36951,2016
Libya,5.615,1.06688,0.52304,0.40672,0.10339,0.17087,2016
Latvia,5.56,1.21788,0.63952,0.27996,0.0889,0.17445,2016
Cyprus,5.546,1.31857,0.8488,0.29507,0.05228,0.27906,2016
Paraguay,5.538,0.89373,0.58295,0.46235,0.07396,0.25296,2016
Romania,5.528,1.1697,0.67602,0.36712,0.00679,0.12889,2016
Estonia,5.517,1.27964,0.68098,0.41511,0.18519,0.08423,2016
Jamaica,5.51,0.89333,0.59469,0.43597,0.04294,0.22245,2016
Croatia,5.488,1.18649,0.70524,0.23907,0.04002,0.18434,2016
Hong Kong,5.458,1.5107,0.95277,0.48079,0.31647,0.40097,2016
Somalia,5.44,0,0.11466,0.56778,0.3118,0.27225,2016
Kosovo,5.401,0.90145,0.54,0.14396,0.06547,0.27992,2016
Turkey,5.389,1.16492,0.64718,0.23889,0.12348,0.04707,2016
Indonesia,5.314,0.95104,0.49374,0.39237,0.00322,0.56521,2016
Jordan,5.303,0.99673,0.60712,0.36023,0.13297,0.14262,2016
Azerbaijan,5.291,1.12373,0.54504,0.35327,0.17914,0.0564,2016
Philippines,5.279,0.81217,0.47036,0.54854,0.11757,0.21674,2016
China,5.245,1.0278,0.73561,0.44012,0.02745,0.04959,2016
Bhutan,5.196,0.8527,0.49759,0.46074,0.1616,0.48546,2016
Kyrgyzstan,5.185,0.56044,0.55449,0.40212,0.04762,0.38432,2016
Serbia,5.177,1.03437,0.6458,0.15718,0.04339,0.20737,2016
Bosnia and Herzegovina,5.163,0.93383,0.70766,0.09511,0,0.29889,2016
Montenegro,5.161,1.07838,0.63533,0.15111,0.12721,0.17191,2016
Dominican Republic,5.155,1.02787,0.57669,0.52259,0.12372,0.21286,2016
Morocco,5.151,0.84058,0.59471,0.25646,0.08404,0.04053,2016
Hungary,5.145,1.24142,0.67608,0.1977,0.04472,0.099,2016
Pakistan,5.132,0.68816,0.40306,0.14622,0.1388,0.31185,2016
Lebanon,5.129,1.12268,0.76171,0.26228,0.03061,0.23693,2016
Portugal,5.123,1.27607,0.79363,0.44727,0.01521,0.11691,2016
Macedonia,5.121,1.0193,0.64738,0.27668,0.07047,0.23507,2016
Vietnam,5.061,0.74037,0.66157,0.55954,0.11556,0.25075,2016
Somaliland Region,5.057,0.25558,0.33108,0.3913,0.36794,0.51479,2016
Tunisia,5.045,0.97724,0.59577,0.23553,0.0817,0.03936,2016
Greece,5.033,1.24886,0.80029,0.05822,0.04127,0,2016
Tajikistan,4.996,0.48835,0.53119,0.43408,0.13509,0.25998,2016
Mongolia,4.907,0.98853,0.55469,0.35972,0.03285,0.34539,2016
Laos,4.876,0.68042,0.38291,0.52168,0.22423,0.43079,2016
Nigeria,4.875,0.75216,0.05108,0.27854,0.0305,0.23219,2016
Honduras,4.871,0.69429,0.58383,0.26755,0.06906,0.2044,2016
Iran,4.813,1.11758,0.64232,0.22544,0.0557,0.38538,2016
Zambia,4.795,0.61202,0.23573,0.42662,0.11479,0.17866,2016
Nepal,4.793,0.44626,0.50073,0.37012,0.07008,0.3816,2016
Palestinian Territories,4.754,0.67024,0.56844,0.17744,0.10613,0.11154,2016
Albania,4.655,0.9553,0.73007,0.31866,0.05301,0.1684,2016
Bangladesh,4.643,0.54177,0.52989,0.39778,0.12583,0.19132,2016
Sierra Leone,4.635,0.36485,0,0.30685,0.08196,0.23897,2016
Iraq,4.575,1.07474,0.51076,0.24856,0.13636,0.19589,2016
Namibia,4.574,0.93287,0.34745,0.48614,0.10398,0.07795,2016
Cameroon,4.513,0.52497,0.12698,0.42736,0.06126,0.2268,2016
Ethiopia,4.508,0.29283,0.34578,0.36703,0.1717,0.29522,2016
South Africa,4.459,1.02416,0.18611,0.42483,0.08415,0.13656,2016
Sri Lanka,4.415,0.97318,0.62007,0.50817,0.07964,0.46978,2016
India,4.404,0.74036,0.45091,0.40285,0.08722,0.25028,2016
Myanmar,4.395,0.34112,0.3988,0.42692,0.20243,0.81971,2016
Egypt,4.362,0.95395,0.52116,0.18847,0.10393,0.12706,2016
Armenia,4.36,0.86086,0.64083,0.14037,0.03616,0.07793,2016
Kenya,4.356,0.52267,0.30147,0.40576,0.06686,0.41328,2016
Ukraine,4.324,0.87287,0.58628,0.12859,0.01829,0.20363,2016
Ghana,4.276,0.63107,0.29681,0.40973,0.0326,0.21203,2016
Congo (Kinshasa),4.272,0.05661,0.188,0.15602,0.06075,0.25458,2016
Georgia,4.252,0.83792,0.64035,0.32461,0.3188,0.06786,2016
Congo (Brazzaville),4.236,0.77109,0.28212,0.37938,0.09753,0.12077,2016
Senegal,4.219,0.44314,0.40457,0.31056,0.11681,0.19103,2016
Bulgaria,4.217,1.11306,0.67806,0.21219,0.00615,0.12793,2016
Mauritania,4.201,0.61391,0.28639,0.1268,0.17955,0.22686,2016
Zimbabwe,4.193,0.35041,0.1595,0.25429,0.08582,0.18503,2016
Malawi,4.156,0.08709,0.29364,0.4143,0.07564,0.30968,2016
Sudan,4.139,0.63069,0.29759,0,0.10039,0.18077,2016
Gabon,4.121,1.15851,0.3494,0.28098,0.09314,0.06244,2016
Mali,4.073,0.31292,0.16347,0.27544,0.13647,0.21064,2016
Haiti,4.028,0.34097,0.27494,0.12072,0.14476,0.47958,2016
Botswana,3.974,1.09426,0.34752,0.44089,0.10769,0.12425,2016
Comoros,3.956,0.27509,0.29981,0.15412,0.18437,0.1827,2016
Ivory Coast,3.916,0.55507,0.04476,0.40663,0.1553,0.20338,2016
Cambodia,3.907,0.55604,0.42494,0.58852,0.08092,0.40339,2016
Angola,3.866,0.84731,0.04991,0.00589,0.08434,0.12071,2016
Niger,3.856,0.1327,0.26162,0.38041,0.17176,0.2097,2016
South Sudan,3.832,0.39394,0.15781,0.19662,0.13015,0.25899,2016
Chad,3.763,0.42214,0.03824,0.12807,0.04952,0.18667,2016
Burkina Faso,3.739,0.31995,0.21297,0.3337,0.12533,0.24353,2016
Uganda,3.739,0.34719,0.19625,0.43653,0.06442,0.27102,2016
Yemen,3.724,0.57939,0.31048,0.2287,0.05892,0.09821,2016
Madagascar,3.695,0.27954,0.37109,0.13684,0.07506,0.2204,2016
Tanzania,3.666,0.47155,0.357,0.3176,0.05099,0.31472,2016
Liberia,3.622,0.10706,0.23165,0.25748,0.04852,0.24063,2016
Guinea,3.607,0.22415,0.18829,0.30953,0.1192,0.29914,2016
Rwanda,3.515,0.32846,0.31865,0.5432,0.50521,0.23552,2016
Benin,3.484,0.39499,0.21028,0.39747,0.06681,0.2018,2016
Afghanistan,3.36,0.38227,0.17344,0.1643,0.07112,0.31268,2016
Togo,3.303,0.28123,0.24811,0.34678,0.11587,0.17517,2016
Syria,3.069,0.74719,0.62994,0.06912,0.17233,0.48397,2016
Burundi,2.905,0.06831,0.15747,0.0432,0.09419,0.2029,2016
